model_id,running_time,mean_residual_deviance,rmse,mse,mae,rmsle,data_id
XGBoost_2_AutoML_20190418_135050,500,0.202491374,0.449990415,0.202491374,0.202765551,0.079566449,1
XGBoost_2_AutoML_20190418_140346,500,0.205276413,0.453074401,0.205276413,0.206033582,0.081056246,1
XGBoost_2_AutoML_20190418_142243,500,0.204894921,0.452653202,0.204894921,0.203246415,0.08041481,1
XGBoost_2_AutoML_20190418_144229,500,0.204361918,0.452064064,0.204361918,0.2029084,0.081030125,1
XGBoost_2_AutoML_20190418_150256,500,0.202635718,0.450150772,0.202635718,0.202175064,0.080597899,1
XGBoost_3_AutoML_20190418_140346,1000,0.196365785,0.443131792,0.196365785,0.195466907,0.079300312,1
XGBoost_3_AutoML_20190418_142243,1000,0.195238677,0.441858209,0.195238677,0.196001685,0.079364435,1
XGBoost_3_AutoML_20190418_144229,1000,0.196312936,0.443072156,0.196312936,0.195385668,0.07996861,1
XGBoost_3_AutoML_20190418_150256,1000,0.196791622,0.443612018,0.196791622,0.197304203,0.080083471,1
XGBoost_grid_1_AutoML_20190418_140346_model_1,333,0.201387619,0.448762319,0.201387619,0.197416619,0.079886771,1
XGBoost_grid_1_AutoML_20190418_140346_model_2,500,9.139159571,3.023104294,9.139159571,2.886386146,0.531254323,1
XGBoost_grid_1_AutoML_20190418_142243_model_1,333,0.215551382,0.464275115,0.215551382,0.216541713,0.085726394,1
XGBoost_grid_1_AutoML_20190418_142243_model_2,500,1.058964033,1.029059781,1.058964033,0.354281608,0.26086856,1
XGBoost_grid_1_AutoML_20190418_142243_model_3,700,4.331598617,2.081249292,4.331598617,1.981894395,0.326491192,1
XGBoost_grid_1_AutoML_20190418_144229_model_1,333,0.205174725,0.452962168,0.205174725,0.19499053,0.081493523,1
XGBoost_grid_1_AutoML_20190418_144229_model_2,500,0.220834287,0.469930088,0.220834287,0.226797594,0.085681321,1
XGBoost_grid_1_AutoML_20190418_144229_model_3,700,14.08661465,3.753213909,14.08661465,2.540657958,1.001920995,1
XGBoost_grid_1_AutoML_20190418_144229_model_4,1000,0.334747125,0.578573353,0.334747125,0.414150523,0.096473746,1
XGBoost_grid_1_AutoML_20190418_150256_model_1,333,0.235956706,0.48575375,0.235956706,0.231884107,0.088807701,1
XGBoost_grid_1_AutoML_20190418_150256_model_2,500,0.196210307,0.442956326,0.196210307,0.200007721,0.080253096,1
XGBoost_grid_1_AutoML_20190418_150256_model_3,700,0.428096906,0.654291148,0.428096906,0.253364928,0.14901297,1
XGBoost_grid_1_AutoML_20190418_150256_model_4,1000,13.11534584,3.621511541,13.11534584,2.310247212,0.961665727,1
XGBoost_grid_1_AutoML_20190418_150256_model_5,1300,0.204611699,0.452340247,0.204611699,0.229775719,0.082388051,1
XRT_1_AutoML_20190418_132524,333,3.439019772,1.854459429,3.439019772,1.716900094,0.320046025,1
XRT_1_AutoML_20190418_135050,333,6.728234254,2.593884009,6.728234254,2.461238239,0.476782198,1
XRT_1_AutoML_20190418_140346,333,4.483792179,2.117496677,4.483792179,1.978017473,0.36610791,1
XRT_1_AutoML_20190418_142243,333,2.8568522,1.69022253,2.8568522,1.524084068,0.290215673,1
XRT_1_AutoML_20190418_144229,333,2.884903134,1.69850026,2.884903134,1.556378448,0.288031688,1
XRT_1_AutoML_20190418_150256,333,5.441409569,2.332682912,5.441409569,2.223205571,0.405175041,1
